dag,tijd,jaar,gem_intensiteit
Friday,13:00,2021,1173.4126597687157
Friday,13:00,2022,1116.0596816976126
Friday,13:00,2023,1150.736284289277
Friday,13:00,2024,1149.8123938879457
Friday,13:15,2019,1263.3287841191068
Friday,13:15,2020,1123.3809523809523
Friday,13:15,2021,1214.7583688374923
Friday,13:15,2022,1149.661803713528
Friday,13:15,2023,1176.1253117206982
Friday,13:15,2024,1179.5738539898132
Friday,13:30,2019,1271.1122828784119
Friday,13:30,2020,1138.2625313283208
Friday,13:30,2021,1239.3548387096773
Friday,13:30,2022,1168.661803713528
Friday,13:30,2023,1191.3852867830424
Friday,13:30,2024,1194.144312393888
Friday,13:45,2019,1268.0223325062034
Friday,13:45,2020,1151.513784461153
Friday,13:45,2021,1248.965307364577
Friday,13:45,2022,1181.7586206896551
Friday,13:45,2023,1201.889650872818
Friday,13:45,2024,1194.3735144312393
Friday,14:00,2019,1275.6408188585608
Friday,14:00,2020,1159.5539936102236
Friday,14:00,2021,1249.4120511259891
Friday,14:00,2022,1187.9946949602122
Friday,14:00,2023,1204.7506234413966
Friday,14:00,2024,1211.1561969439729
Friday,14:15,2019,1337.5384615384614
Friday,14:15,2020,1203.62656641604
Friday,14:15,2021,1306.3073645769932
Friday,14:15,2022,1246.1803713527852
Friday,14:15,2023,1255.3796758104738
Friday,14:15,2024,1253.978777589134
Friday,14:30,2019,1368.204094292804
Friday,14:30,2020,1233.4116541353383
Friday,14:30,2021,1354.4875228241021
Friday,14:30,2022,1265.3050397877985
Friday,14:30,2023,1279.9033665835411
Friday,14:30,2024,1266.8913412563668
Friday,14:45,2019,1376.2599255583127
Friday,14:45,2020,1239.9818295739349
Friday,14:45,2021,1373.0535605599514
Friday,14:45,2022,1283.3740053050399
Friday,14:45,2023,1287.9233167082293
Friday,14:45,2024,1267.6179966044142
Friday,15:00,2019,1385.937965260546
Friday,15:00,2020,1244.0050125313282
Friday,15:00,2021,1371.5045648204505
Friday,15:00,2022,1276.6120514556533
Friday,15:00,2023,1293.464463840399
Friday,15:00,2024,1277.437181663837
Friday,15:15,2019,1427.326923076923
Friday,15:15,2020,1290.235588972431
Friday,15:15,2021,1401.3201460742544
Friday,15:15,2022,1322.6242383209208
Friday,15:15,2023,1325.883416458853
Friday,15:15,2024,1280.6570458404074
Friday,15:30,2019,1447.7766749379653
Friday,15:30,2020,1312.140350877193
Friday,15:30,2021,1425.1424223980523
Friday,15:30,2022,1331.8009478672986
Friday,15:30,2023,1317.441396508728
Friday,15:30,2024,1269.074702886248
Friday,15:45,2019,1414.1277915632754
Friday,15:45,2020,1293.6817042606517
Friday,15:45,2021,1404.887401095557
Friday,15:45,2022,1303.303317535545
Friday,15:45,2023,1296.1371571072318
Friday,15:45,2024,1248.2122241086588
Friday,16:00,2019,1383.4063275434244
Friday,16:00,2020,1270.2443609022557
Friday,16:00,2021,1364.6037735849056
Friday,16:00,2022,1261.7665782493368
Friday,16:00,2023,1269.6483790523691
Friday,16:00,2024,1230.9728353140918
Friday,16:15,2019,1391.0583126550869
Friday,16:15,2020,1256.6065162907269
Friday,16:15,2021,1354.130249543518
Friday,16:15,2022,1252.6624668435013
Friday,16:15,2023,1265.6558603491271
Friday,16:15,2024,1221.7436332767402
Friday,16:30,2019,1367.7990074441686
Friday,16:30,2020,1222.5839598997493
Friday,16:30,2021,1330.4808277541083
Friday,16:30,2022,1226.4880636604776
Friday,16:30,2023,1256.2319201995012
Friday,16:30,2024,1226.8336162988116
Friday,16:45,2019,1375.7810173697271
Friday,16:45,2020,1207.2255639097743
Friday,16:45,2021,1311.7900182592819
Friday,16:45,2022,1210.8275862068965
Friday,16:45,2023,1247.4027431421446
Friday,16:45,2024,1215.9830220713072
Friday,17:00,2019,1387.413771712159
Friday,17:00,2020,1194.951127819549
Friday,17:00,2021,1309.188679245283
Friday,17:00,2022,1228.761273209549
Friday,17:00,2023,1243.586034912718
Friday,17:00,2024,1225.553480475382
Friday,17:15,2019,1435.88523573201
Friday,17:15,2020,1239.5682957393483
Friday,17:15,2021,1357.4826536822884
Friday,17:15,2022,1268.924403183024
Friday,17:15,2023,1279.3341645885287
Friday,17:15,2024,1267.4074702886248
Friday,17:30,2019,1378.3132754342432
Friday,17:30,2020,1195.7994987468671
Friday,17:30,2021,1306.6220328667073
Friday,17:30,2022,1220.0875331564987
Friday,17:30,2023,1232.1995012468828
Friday,17:30,2024,1222.9898132427843
Friday,17:45,2019,1310.6650124069479
Friday,17:45,2020,1134.0231829573934
Friday,17:45,2021,1244.895922093731
Friday,17:45,2022,1156.4376657824935
Friday,17:45,2023,1179.004987531172
Friday,17:45,2024,1166.5551782682512
Friday,18:00,2019,1235.7084367245657
Friday,18:00,2020,1043.248120300752
Friday,18:00,2021,1147.1357273280585
Friday,18:00,2022,1084.4190981432362
Friday,18:00,2023,1119.3216957605985
Friday,18:00,2024,1114.3752122241087
Friday,18:15,2019,1197.2065756823822
Friday,18:15,2020,1000.6842105263158
Friday,18:15,2021,1100.7291539866098
Friday,18:15,2022,1045.199602122016
Friday,18:15,2023,1084.703241895262
Friday,18:15,2024,1084.0050933786079
Friday,18:30,2019,1116.818858560794
Friday,18:30,2020,917.438596491228
Friday,18:30,2021,1009.507608034084
Friday,18:30,2022,968.6863395225464
Friday,18:30,2023,1016.284289276808
Friday,18:30,2024,1017.6935483870968
Friday,18:45,2019,1036.225806451613
Friday,18:45,2020,832.3659147869674
Friday,18:45,2021,911.3012781497262
Friday,18:45,2022,891.2029177718833
Friday,18:45,2023,946.0124688279302
Friday,18:45,2024,940.7351443123939
Friday,19:00,2019,953.6141439205956
Friday,19:00,2020,761.2882205513785
Friday,19:00,2021,829.7942787583688
Friday,19:00,2022,826.840848806366
Friday,19:00,2023,874.3216957605985
Friday,19:00,2024,873.3599320882852
Friday,19:15,2019,888.6110421836229
Friday,19:15,2020,723.6591478696741
Friday,19:15,2021,783.4863055386488
Friday,19:15,2022,786.3222811671087
