week,gem_intensiteit
1,6916283.0
2,14655988.0
3,15226385.0
4,15476845.0
5,15607759.0
6,15168542.0
7,15425634.0
8,14945354.0
9,15639578.0
10,15608280.0
11,13917757.0
12,9256448.0
13,8207103.0
14,8505841.0
15,8888385.0
16,8694209.0
17,10024772.0
18,9789107.0
19,10706288.0
20,11373964.0
21,11216807.0
22,12552832.0
23,12512784.0
24,13412221.0
25,13756278.0
26,14354360.0
27,14865772.0
28,14118741.0
29,13888341.0
30,13568155.0
31,13346760.0
32,12192521.0
33,13507681.0
34,14308659.0
35,14429489.0
36,14640122.0
37,14326980.0
38,14771298.0
39,14683249.0
40,13730479.0
41,13150166.0
42,12618542.0
43,11907139.0
44,10906278.0
45,10707564.0
46,10747277.0
47,11302819.0
48,12507139.0
49,12703189.0
50,13202966.0
51,12240535.0
52,10630547.0
53,5968527.0
