week,gem_intensiteit
1,12590671.0
2,13990932.0
3,14249488.0
4,14845814.0
5,14745995.0
6,14690812.0
7,15053144.0
8,14636228.0
9,14455746.0
10,14878649.0
11,14857102.0
12,7877979.0
13,14500293.0
14,15619534.0
15,15096671.0
16,15854711.0
17,14481004.0
18,15205399.0
19,15850380.0
20,14670868.0
21,15864600.0
22,14260319.0
23,15631042.0
24,14342735.0
25,11428342.0
26,14536622.0
27,15349857.0
28,15720068.0
29,15274841.0
30,13917322.0
31,12367848.0
32,9622754.0
33,12446319.0
34,13987876.0
35,15232471.0
36,14459141.0
37,14964207.0
38,12411685.0
39,15764747.0
40,15839472.0
41,15528544.0
42,15344130.0
43,15648919.0
44,15078190.0
45,15512070.0
46,15210270.0
47,15537299.0
48,13770937.0
49,15120299.0
50,15303440.0
51,14752343.0
52,13156105.0
