week,gem_intensiteit
1,12115898.0
2,14183387.0
3,14175574.0
4,14994915.0
5,15248191.0
6,14849122.0
7,14907196.0
8,14023148.0
9,15446055.0
10,15422326.0
11,14995423.0
12,14116601.0
13,15410319.0
14,15226074.0
15,15841830.0
16,15772414.0
17,15066135.0
18,15073288.0
19,14865839.0
20,12979634.0
21,15452551.0
22,16481617.0
23,15922934.0
24,16254222.0
25,15641145.0
26,14875543.0
27,15181063.0
28,14275057.0
29,14874103.0
30,12735673.0
31,12356000.0
32,12575482.0
33,12301854.0
34,13381221.0
35,13940168.0
36,13719844.0
37,15022038.0
38,14378533.0
39,4798898.0
