week,gem_intensiteit
1,14433160.0
2,15408097.0
3,15844353.0
4,15475533.0
5,15807344.0
6,16019108.0
7,16257575.0
8,15276017.0
9,15561031.0
10,15525008.0
11,15552124.0
12,15916932.0
13,16401884.0
14,17032445.0
15,16934044.0
16,16762543.0
17,15245810.0
18,15997634.0
19,15826063.0
20,15673557.0
21,16126970.0
22,14919398.0
23,15555100.0
24,15678479.0
25,16729001.0
26,16965175.0
27,17144590.0
28,16672048.0
29,15973632.0
30,14720597.0
31,14173399.0
32,14217642.0
33,14854249.0
34,16293955.0
35,16451111.0
36,16448586.0
37,16734616.0
38,16819184.0
39,16811050.0
40,16767994.0
41,16626436.0
42,16611865.0
43,16211377.0
44,14285619.0
45,15839292.0
46,15692470.0
47,15908061.0
48,15681296.0
49,15471561.0
50,15783381.0
51,15571200.0
52,12296063.0
