week,gem_intensiteit
1,10711810.0
2,11891602.0
3,12474173.0
4,13044917.0
5,13156838.0
6,13683288.0
7,11813287.0
8,13842198.0
9,14159578.0
10,14007303.0
11,13769510.0
12,14804713.0
13,14689313.0
14,13205414.0
15,12733475.0
16,12645307.0
17,11637490.0
18,12530854.0
19,13106108.0
20,12939653.0
21,12211295.0
22,12716576.0
23,12414777.0
24,12683195.0
25,11541812.0
26,12816815.0
27,12601382.0
28,12509963.0
29,10989354.0
30,9548352.0
31,9733265.0
32,10280811.0
33,11098803.0
34,12115212.0
35,12766633.0
36,12578258.0
37,12480133.0
38,12335699.0
39,12685880.0
40,14021739.0
41,14886221.0
42,15049744.0
43,14432783.0
44,14352391.0
45,13139595.0
46,13946890.0
47,14923264.0
48,14499364.0
49,14432059.0
50,14609637.0
51,14029611.0
52,12740053.0
